,Caption,np,judge
126,ネットで話題になっているセリアの手ぬぐい風タオルを買ってきました〜🐨マリメッコのプケッティにそっくりな柄。店舗によっては品切れになっているようです。私の行った店舗はちょうど品出しをしているところでした。この前買ったマリメッコのウニッコ　アイシーグレーのマグカップを合わせてみました😃手ぬぐいなんですけど、炊飯器の目隠しにしたり、ちょっとランチョンマット風にしてみたり、色々使い道はありそうです。#セリア　#マリメッコ風　#北欧　#seria #ウニッコ　#マリメッコ  #コアラ　#3coins #ルイボスティー,-0.6085387857142859,n
35,.花粉症が酷くて、せっせとルイボスティー飲んでます☕️.#ルイボスティー#花粉症#ミモザ#ミニスワッグ#手作り#おうち時間#myhome#teatime,-0.6002689999999999,n
1145,最近ずっと肌がいい感じ！そのお陰はlbalancia エルバランシアのRBモイストリッチクリーム💕ルイボスエキス配合の高保湿クリームです。フラボノイド、ミネラル、ビタミンCなど肌によい成分がたっぷり含まれるルイボスエキス💕エルバランシアはそんなルイボスエキスを高配合しています✨だから乾燥やハリ不足の肌を保湿し、ハリ、弾力を与えてくれる💕もっちりとしたテクスチュアなんだけど、肌にすっとなじんで、しっとり！まったくベタつかず、でも肌はもっちり❣️このクリームを１ヶ月間使って、肌の揺るぎがなくなった気がします。保湿力がキープされてるし、メイクのりも良くなって、メイクも落ちににくなった❣️これまでマスクで乾燥したり、荒れてたのですが、それも無くなりました❣️ルイボスエキスってスゴイ💕これからも続けます💕#エルバランシア #lbalancia #rbモイストリッチクリーム #保湿クリーム #乾燥肌対策 #美肌ケア #エイジングケア #ルイボスティー #pr_bangle,-0.5947677393939392,n
531,【#GODIVA】ほっ♡息抜き.(注文)#ショコリキサーホワイトチョコレートルイボスティー650円(テイクアウト).🌺好み割れるお味 (ﾟーﾟ*)🌺ルイボスティー飲むことあるけどいつもより少し濃いめ独特の香りがずっと続く感じ♡🌺ホワイトチョコとの相性◯...🌼販売期間：5/1～5/31..#GodivaJapan#godivaboxiscute#Highqualitychocolate#Deliciouschocolate#godiva  #godiva_japan#godivachocolate#ゴディバ#ゴディバジャパン#godiva箱かわいい#godivaパッケージ#godiva大好き#高級チョコレート#おいしいチョコレート#GODIVAcake#GODIVAショコリキサー#ゴディバショコリキサー#ルイボスティー#ゴディバホワイトチョコレートルイボスティー,-0.594210775,n
1393,今日の晩御飯😋〜タンパク質と野菜🍅🥒🥬に大麦〜宮崎鶏のムネ肉の焼き鳥トマト胡瓜サニーレタスのサラダ🥗金胡麻豆腐と黒胡麻豆腐の一松油揚げとわかめの味噌汁大麦御飯ルイボスティー#宮崎鶏 #ムネ肉 #焼き鳥 #トマト #胡瓜 #サニーレタス #金胡麻豆腐 #黒胡麻豆腐 #一松模様 #油揚げとわかめの味噌汁 #大麦御飯 #ルイボスティー #おうちごはん,-0.59138146875,n
157,..私のトレ中のドリンクはルイボスティーか麦茶がメインです😙理由はゴクゴクたくさん飲めるから😋LÝFTの45ozラージボトルは大容量なのでめっちゃ助かっています💖45oz/1300cclyft.nutrition #lyftnutrition #lyftprotein #blenderbottle #bcaa#eaa#ルイボスティー#麦茶,-0.58870925,n
2146,久しぶりのカレーライス🥄定期的に食べたくなっちゃいます₍₍ ( ๑॔˃̶◡ ˂̶๑॓)◞♡🍛#晩ご飯 #晩ご飯記録 #夜ご飯 #よるごはん #夕食 #お家ごはん #おうちごはん #おうちごはんlover #今日のご飯 #手料理 #カレー #カレーライス #カレーライス🍛 #サラダ #ルイボスティー #手作りご飯 #おいしい #美味しいもの好き #クッキングラム #デリスタグラム #飯テロ #食べスタグラム #手料理グラム #料理好きな人と繋がりたい #ひとりごはん #自炊女子 #グルメ部 #カレー部 #curry,-0.584583561111111,n
508,脂っこいお料理には、もはや私の中で欠かせないルイボスティー♪こちらはルイボスティーの中でも、オーガニック認証を取得した最高級グレードの茶葉を100%使用されているので、香りもとても良く、ルイボスティー特有のクセが全くないので、子どもも好んで飲んでいます。ティーバッグなので、茶葉の片付けもしなくて良いので手軽に飲めますよ♪────────────────────株式会社TIGER　オーガニック 生葉（ナマハ）ルイボスティー────────────────────#タイガールイボスティー #ルイボスティー #生葉ルイボスティー #オーガニックルイボスティー #オーガニック生活 #ノンカフェイン #monipla #rooibostiger_fan,-0.5816072631578948,n
1475,子がくれたティーバックが可愛すぎた。#ルイボスティー#うさぎ#teabag #母の日#gongdreen,-0.5750726666666667,n
2142,おはようございます(Ő‿Ő♥)⁣・⁣・⁣今朝は春キャベツを使った朝ご飯です♡⁣・⁣・⁣🔹お餅でとん平焼き⁣🔹食べるコンソメスープ⁣🔹焼きはんぺんとアボカドのサラダ⁣🔹いちご⁣🔹ルイボスティー⁣・⁣・⁣・⁣とん平焼き風に餅平焼き？🙄にしてみました！⁣・⁣この餅平焼きは、いつも美味しそうなご飯を作られてる(hima09hima)さんの朝ごはんを参考にしてます（๑⃙⃘ˊ꒳​ˋ๑⃙⃘）⁣・⁣材料は、キャベツの千切り、万能ネギ、餅、チーズ、卵、かつお節、水溶き片栗粉、おたふくソース、マヨネーズ…⁣・⁣お餅好きの私としてはこの餅平焼き❣️ご飯代わりになって気に入ってます😉⁣・⁣・⁣食べるコンソメスープは、⁣春キャベツ、新玉ねぎ、人参、ベーコンを使ってます😊⁣・⁣春キャベツは柔らかくって、火を通すとより甘みが出て　美味しいですよね(*´▽`*)⁣・⁣・⁣サラダは焼きはんぺん、アボカド、プチトマトにポン酢、出汁醤油、オリーブオイル、レモン果汁、わさび、炒りごまで和えました😊⁣・⁣・⁣・⁣昨日は春の嵐🍃🌀🍃凄かったですね😱☔️⚡️🍃⁣皆さんのところはどうでしたか？⁣今朝は昨日と打って変わってスッキリとした☀️⁣やっぱり朝は晴れてると気持ちイイですね⁣٩( ๑╹ ꇴ╹)۶⁣皆さんも良き一日をお過ごしください🍀⁣・⁣・⁣・⁣今週も男前女係長さんと共に仕事する日が多いので💦朝ごはんお休みする日が多いです(u_u)⁣(👈えっ？誰も気にしてない？🤣一人ぐらい心配される方がいるかもしれないので…🙄一応お伝えしておきました👋😙)⁣・⁣・⁣・⁣#朝ごはん⁣#おうちご飯⁣#おうちカフェ⁣#おうち時間⁣#朝ごはんプレート⁣#元気な朝ごはん⁣#料理好き⁣#料理好きと繋がりたい⁣#料理上手になりたい⁣#豚平焼き風⁣#春キャベツ⁣#食べるコンソメスープ⁣#はんぺんサラダ⁣#恋みのり⁣#ルイボスティー⁣⁣⁣,-0.5692310936708858,n
